# id 菜名 价格 描述 销量 平均得分 类型 评论个数(用来排序还有更新平均评分)
28 老醋花生 14 酸甜酥脆，下酒佳品 170 4.3 凉菜 2
29 凉拌金针菇 14 爽脆微辣，低脂健康 155 4.4 凉菜 2
30 酱牛肉 45 卤制入味，肉质紧实 125 4.7 凉菜 3
31 炸酱面 20 老北京风味，酱香浓郁 142 4.5 主食 3
32 担担面 18 麻辣鲜香，面条劲道 135 4.6 主食 2
33 葱油拌面 15 葱香四溢，简单美味 160 4.4 主食 2
34 鲜肉小笼包 22 皮薄馅大，汤汁丰富 176 4.7 主食 3
35 韭菜盒子 12 外皮酥脆，韭菜鸡蛋馅 150 4.3 主食 2
36 蛋炒饭 14 粒粒分明，蛋香浓郁 190 4.2 主食 3
37 炒河粉 18 镬气十足，配菜丰富 145 4.4 主食 2
38 猪肉白菜饺子 24 手工现包，皮薄馅足 165 4.6 主食 3
39 煎饺 20 底部金黄酥脆，内馅多汁 155 4.5 主食 2
40 疙瘩汤 18 酸甜开胃，暖胃佳品 130 4.3 主食 2
41 酸梅汤 10 传统熬制，生津止渴 224 4.5 饮品 3
42 冰镇可乐 6 经典碳酸饮料，冰爽解渴 256 4 饮品 2
43 鲜榨西瓜汁 15 清甜解暑，夏季必备 180 4.6 饮品 3
44 珍珠奶茶 16 奶香浓郁，Q弹珍珠 200 4.4 饮品 3
45 绿茶 8 清香解腻，提神醒脑 190 4.2 饮品 2
46 茉莉花茶 10 花香四溢，回味甘甜 175 4.3 饮品 2
47 椰汁 12 清甜顺滑，植物蛋白 160 4.5 饮品 2
48 豆浆 6 现磨黄豆，营养健康 211 4.4 饮品 3
49 咖啡 18 现磨咖啡豆，香醇浓郁 140 4.6 饮品 2
50 气泡水 8 无糖清爽，解腻佳品 185 4.3 饮品 2
51 杨枝甘露 22 芒果西柚西米，清甜爽口 165 4.8 甜品 3
52 焦糖布丁 16 入口即化，奶香浓郁 140 4.5 甜品 2
53 桂花糕 12 软糯香甜，桂花清香 130 4.6 甜品 2
54 绿豆沙 10 清热解暑，细腻绵密 175 4.4 甜品 2
55 提拉米苏 28 咖啡酒香，层次丰富 120 4.7 甜品 3
56 蛋挞 8 外酥里嫩，奶香四溢 190 4.5 甜品 3
57 芋圆烧仙草 18 配料丰富，清凉解暑 156 4.6 甜品 2
58 冰粉 12 红糖山楂，夏日清凉 181 4.4 甜品 3
59 银耳莲子羹 15 滋阴润肺，清甜软糯 145 4.5 甜品 2
60 芝士蛋糕 24 浓郁芝士，口感绵密 135 4.7 甜品 3
61 紫菜蛋花汤 12 清淡鲜美，家常必备 180 4.3 汤羹 2
62 西红柿鸡蛋汤 14 酸甜开胃，营养丰富 170 4.4 汤羹 2
63 排骨莲藕汤 38 湖北经典，汤鲜味美 110 4.8 汤羹 3
64 鸡汤 45 滋补养生，鸡肉软烂 105 4.7 汤羹 3
65 酸辣汤 16 酸辣开胃，暖身佳品 150 4.5 汤羹 2
66 冬瓜肉丸汤 22 清淡解腻，肉丸Q弹 135 4.4 汤羹 2
67 罗宋汤 28 酸甜浓郁，西式经典 120 4.6 汤羹 2
68 海鲜豆腐汤 32 鲜味十足，营养丰富 115 4.7 汤羹 2
69 玉米排骨汤 35 清甜滋润，老少皆宜 125 4.8 汤羹 3
70 皮蛋瘦肉粥 18 绵密顺滑，咸香适口 160 4.5 汤羹 3
71 烤羊肉串 15 孜然飘香，外焦里嫩 190 4.6 烧烤 3
72 烤鸡翅 12 蜜汁微甜，肉质鲜嫩 185 4.5 烧烤 2
73 烤韭菜 10 蒜香浓郁，口感独特 160 4.3 烧烤 2
74 烤茄子 18 蒜蓉铺满，软糯入味 145 4.6 烧烤 2
75 炸薯条 15 外酥里软，番茄酱绝配 200 4.4 小吃 3
76 炸鸡块 18 酥脆多汁，老少皆宜 175 4.5 小吃 2
77 臭豆腐 12 闻着臭吃着香，外脆里嫩 150 4.3 小吃 2
78 烤冷面 14 酸甜微辣，街头经典 165 4.4 小吃 2
79 章鱼小丸子 16 木鱼花点缀，口感丰富 155 4.5 小吃 2
80 春卷 12 外皮酥脆，蔬菜肉丝馅 140 4.4 小吃 2
81 糖醋排骨 38 酸甜可口，色泽红亮 130 4.7 热菜 3
82 葱爆羊肉 42 葱香浓郁，羊肉滑嫩 115 4.6 热菜 2
83 蒜蓉粉丝蒸扇贝 48 蒜香扑鼻，海鲜鲜甜 105 4.8 热菜 3
84 清蒸鲈鱼 55 鱼肉细嫩，原汁原味 110 4.8 热菜 3
85 干锅花菜 26 干香微辣，口感脆爽 140 4.5 热菜 2
86 鱼香茄子 24 软糯入味，下饭神器 150 4.4 热菜 2
87 宫保虾球 45 虾肉Q弹，微辣酸甜 120 4.7 热菜 3
88 铁板牛肉 48 滋滋作响，黑椒浓郁 115 4.6 热菜 2
89 菠萝咕噜肉 36 酸甜开胃，外酥里嫩 125 4.5 热菜 2
90 香干炒肉 28 豆香肉香，家常美味 135 4.4 热菜 2
91 炒米粉 18 镬气十足，配菜丰富 145 4.3 主食 2
92 肠粉 16 爽滑软嫩，酱汁鲜甜 155 4.5 主食 2
93 煲仔饭 28 锅巴酥脆，腊味飘香 120 4.7 主食 3
94 凉皮 12 酸辣爽口，夏日必备 170 4.4 凉菜 2
95 肉夹馍 15 馍酥肉烂，肥而不腻 165 4.6 小吃 3
96 卤肉饭 22 卤汁浓郁，入口即化 150 4.5 主食 2
97 蚵仔煎 20 鲜香软糯，台式风味 135 4.4 小吃 2
98 葱油饼 10 外酥里软，葱香四溢 180 4.3 小吃 2
99 南瓜粥 12 香甜绵密，养胃佳品 160 4.5 汤羹 2
100 杏仁豆腐 16 清凉爽滑，杏仁清香 145 4.6 甜品 2
