# 评论数据 —— 格式: user_id|dish_ids(逗号分隔)|comment|rate|timestamp
53|17,18|木须肉和地三鲜，家常美味|4|1780113600
54|19,20|京酱肉丝和剁椒鱼头，南北结合|5|1780117200
55|21,22|拍黄瓜和凉拌木耳，清爽凉菜|4|1780120800
56|23,24|夫妻肺片和蒜泥白肉，肉食者最爱|5|1780124400
57|25,26|凉拌海带丝和皮蛋豆腐，开胃小菜|4|1780128000
58|27,28|口水鸡和老醋花生，下酒好菜|5|1780131600
59|29,30|凉拌金针菇和酱牛肉，健康美味|4|1780135200
60|31,32|炸酱面和担担面，面食爱好者|5|1780138800
61|33,34|葱油拌面和鲜肉小笼包，早餐标配|4|1780142400
62|35,36|韭菜盒子和蛋炒饭，简单吃饱|3|1780146000
63|37,38|炒河粉和猪肉白菜饺子，南北主食|4|1780149600
64|39,40|煎饺和疙瘩汤，暖胃组合|5|1780153200
65|41,42|酸梅汤和冰镇可乐，快乐水|4|1780156800
66|43,44|鲜榨西瓜汁和珍珠奶茶，夏日饮品|5|1780160400
67|45,46|绿茶和茉莉花茶，清新解腻|4|1780164000
68|47,48|椰汁和豆浆，植物蛋白补充|5|1780167600
69|49,50|咖啡和气泡水，提神醒脑|4|1780171200
70|51,52|杨枝甘露和焦糖布丁，甜蜜时光|5|1780174800
71|53,54|桂花糕和绿豆沙，传统甜品|4|1780178400
72|55,56|提拉米苏和蛋挞，西式甜点|5|1780182000
73|57,58|芋圆烧仙草和冰粉，清凉解暑|4|1780185600
74|59,60|银耳莲子羹和芝士蛋糕，中西合璧|5|1780189200
75|61,62|紫菜蛋花汤和西红柿鸡蛋汤，家常汤品|4|1780192800
76|63,64|排骨莲藕汤和鸡汤，滋补养生|5|1780196400
77|65,66|酸辣汤和冬瓜肉丸汤，开胃暖身|4|1780200000
78|67,68|罗宋汤和海鲜豆腐汤，西式鲜味|5|1780203600
79|69,70|玉米排骨汤和皮蛋瘦肉粥，清淡营养|4|1780207200
80|71,72|烤羊肉串和烤鸡翅，烧烤必点|5|1780210800
81|73,74|烤韭菜和烤茄子，素菜烧烤|4|1780214400
82|75,76|炸薯条和炸鸡块，小朋友最爱|5|1780218000
83|77,78|臭豆腐和烤冷面，街头小吃|4|1780221600
84|79,80|章鱼小丸子和春卷，精致小吃|5|1780225200
85|81,82|糖醋排骨和葱爆羊肉，硬菜组合|4|1780228800
86|83,84|蒜蓉粉丝蒸扇贝和清蒸鲈鱼，海鲜大餐|5|1780232400
87|85,86|干锅花菜和鱼香茄子，素菜荤做|4|1780236000
88|87,88|宫保虾球和铁板牛肉，高档食材|5|1780239600
89|89,90|菠萝咕噜肉和香干炒肉，酸甜咸香|4|1780243200
90|91,92|炒米粉和肠粉，广式风味|5|1780246800
91|93,94|煲仔饭和凉皮，南北主食碰撞|4|1780250400
92|95,96|肉夹馍和卤肉饭，碳水快乐|5|1780254000
93|97,98|蚵仔煎和葱油饼，特色小吃|4|1780257600
94|99,100|南瓜粥和杏仁豆腐，养生甜品|5|1780261200
95|1,10|宫保鸡丁配双皮奶，意外的好吃|4|1780264800
96|20,30|酱牛肉配炸酱面，老北京味道|5|1780268400
97|40,50|铁板牛肉配气泡水，解腻神器|4|1780272000
98|60,70|清蒸鲈鱼配皮蛋瘦肉粥，清淡晚餐|5|1780275600
99|80,90|烤冷面配香干炒肉，混搭风|3|1780279200
100|100,1|煲仔饭配宫保鸡丁，完美午餐|5|1780282800
199|1,2,3,||4|1781110542
1|41,|好吃|3|1781366762
199|1,2,3,||4|1781397254
199|42,41,6,31,|好|4|1781397299
199|1,2,3,||4|1781400241
199|42,10,62,|111|5|1781400654
